date,region,product,channel,units,unit_price,revenue
2024-07-28,APAC,Laptop Stand,Partner,24,14.78,354.72
2024-07-29,North America,Portable SSD,Online,8,41.29,330.32
2024-07-29,LATAM,Laptop Stand,Retail,5,14.78,73.90
2024-07-30,LATAM,Mechanical Keyboard,Online,4,210.43,841.72
2024-07-31,APAC,Laptop Stand,Retail,11,14.78,162.58
2024-08-01,EMEA,HD Webcam,Online,5,26.17,130.85
2024-08-01,North America,Portable SSD,Partner,6,41.29,247.74
2024-08-02,APAC,Portable SSD,Partner,28,41.29,1156.12
2024-08-03,North America,Desk Lamp,Retail,22,64.22,1412.84
2024-08-04,North America,USB-C Hub,Partner,22,100.72,2215.84
2024-08-04,APAC,Wireless Mouse,Partner,11,34.72,381.92
2024-08-05,North America,HD Webcam,Retail,40,26.17,1046.80
2024-08-06,APAC,Desk Lamp,Retail,39,64.22,2504.58
2024-08-06,ANZ,USB-C Hub,Partner,19,100.72,1913.68
2024-08-07,LATAM,HD Webcam,Retail,17,26.17,444.89
2024-08-08,ANZ,HD Webcam,Partner,32,26.17,837.44
2024-08-09,LATAM,Standing Desk,Retail,17,160.66,2731.22
2024-08-09,LATAM,HD Webcam,Online,14,26.17,366.38
2024-08-10,APAC,Laptop Stand,Retail,12,14.78,177.36
2024-08-11,LATAM,HD Webcam,Online,17,26.17,444.89
2024-08-12,LATAM,Laptop Stand,Online,6,14.78,88.68
2024-08-12,APAC,HD Webcam,Partner,4,26.17,104.68
2024-08-13,ANZ,USB-C Hub,Online,25,100.72,2518.00
2024-08-14,ANZ,Standing Desk,Retail,12,160.66,1927.92
2024-08-15,EMEA,USB-C Hub,Online,38,100.72,3827.36
2024-08-15,LATAM,Portable SSD,Partner,28,41.29,1156.12
2024-08-16,APAC,HD Webcam,Partner,28,26.17,732.76
2024-08-17,APAC,Laptop Stand,Partner,14,14.78,206.92
2024-08-17,APAC,HD Webcam,Retail,2,26.17,52.34
2024-08-18,APAC,Laptop Stand,Retail,37,14.78,546.86
2024-08-19,ANZ,USB-C Hub,Partner,9,100.72,906.48
2024-08-20,APAC,HD Webcam,Online,30,26.17,785.10
2024-08-20,North America,Portable SSD,Partner,8,41.29,330.32
2024-08-21,LATAM,Laptop Stand,Online,23,14.78,339.94
2024-08-22,LATAM,HD Webcam,Retail,17,26.17,444.89
2024-08-23,LATAM,Laptop Stand,Retail,31,14.78,458.18
2024-08-23,ANZ,Desk Lamp,Online,31,64.22,1990.82
2024-08-24,North America,Wireless Mouse,Partner,33,34.72,1145.76
2024-08-25,North America,USB-C Hub,Retail,29,100.72,2920.88
2024-08-25,EMEA,HD Webcam,Retail,14,26.17,366.38
2024-08-26,APAC,Laptop Stand,Online,16,14.78,236.48
2024-08-27,North America,Portable SSD,Retail,25,41.29,1032.25
2024-08-28,EMEA,HD Webcam,Partner,15,26.17,392.55
2024-08-28,ANZ,Laptop Stand,Online,13,14.78,192.14
2024-08-29,North America,Desk Lamp,Partner,34,64.22,2183.48
2024-08-30,North America,HD Webcam,Partner,10,26.17,261.70
2024-08-31,APAC,USB-C Hub,Online,9,100.72,906.48
2024-08-31,North America,Laptop Stand,Partner,38,14.78,561.64
2024-09-01,North America,Portable SSD,Online,37,41.29,1527.73
2024-09-02,APAC,USB-C Hub,Online,40,100.72,4028.80
2024-09-02,LATAM,Portable SSD,Partner,4,41.29,165.16
2024-09-03,EMEA,Portable SSD,Online,8,41.29,330.32
2024-09-04,EMEA,HD Webcam,Retail,6,26.17,157.02
2024-09-05,ANZ,USB-C Hub,Online,14,100.72,1410.08
2024-09-05,ANZ,Laptop Stand,Retail,18,14.78,266.04
2024-09-06,EMEA,USB-C Hub,Retail,5,100.72,503.60
2024-09-07,APAC,Desk Lamp,Retail,4,64.22,256.88
2024-09-08,North America,HD Webcam,Partner,13,26.17,340.21
2024-09-08,LATAM,Laptop Stand,Retail,8,14.78,118.24
2024-09-09,LATAM,Portable SSD,Online,22,41.29,908.38
2024-09-10,EMEA,Portable SSD,Retail,19,41.29,784.51
2024-09-11,North America,Portable SSD,Online,9,41.29,371.61
2024-09-11,ANZ,Portable SSD,Online,12,41.29,495.48
2024-09-12,LATAM,Laptop Stand,Partner,31,14.78,458.18
2024-09-13,LATAM,USB-C Hub,Retail,14,100.72,1410.08
2024-09-13,LATAM,USB-C Hub,Partner,19,100.72,1913.68
2024-09-14,LATAM,Laptop Stand,Retail,31,14.78,458.18
2024-09-15,EMEA,Portable SSD,Online,1,41.29,41.29
2024-09-16,ANZ,Desk Lamp,Retail,9,64.22,577.98
2024-09-16,ANZ,Laptop Stand,Online,25,14.78,369.50
2024-09-17,EMEA,Wireless Mouse,Retail,4,34.72,138.88
2024-09-18,ANZ,USB-C Hub,Partner,16,100.72,1611.52
2024-09-19,North America,Desk Lamp,Partner,4,64.22,256.88
2024-09-19,North America,USB-C Hub,Online,32,100.72,3223.04
2024-09-20,APAC,Laptop Stand,Online,23,14.78,339.94
2024-09-21,EMEA,Laptop Stand,Retail,8,14.78,118.24
2024-09-21,North America,USB-C Hub,Online,3,100.72,302.16
2024-09-22,APAC,Portable SSD,Partner,29,41.29,1197.41
2024-09-23,North America,HD Webcam,Partner,10,26.17,261.70
2024-09-24,EMEA,Portable SSD,Online,23,41.29,949.67
2024-09-24,North America,USB-C Hub,Retail,14,100.72,1410.08
2024-09-25,North America,Desk Lamp,Retail,28,64.22,1798.16
2024-09-26,ANZ,Laptop Stand,Partner,32,14.78,472.96
2024-09-27,LATAM,Laptop Stand,Partner,24,14.78,354.72
2024-09-27,LATAM,HD Webcam,Partner,11,26.17,287.87
2024-09-28,North America,Laptop Stand,Partner,25,14.78,369.50
2024-09-29,LATAM,Laptop Stand,Partner,30,14.78,443.40
2024-09-29,APAC,HD Webcam,Online,11,26.17,287.87
2024-09-30,ANZ,Mechanical Keyboard,Online,29,210.43,6102.47
2024-10-01,EMEA,Laptop Stand,Online,14,14.78,206.92
2024-10-02,North America,Portable SSD,Online,36,41.29,1486.44
2024-10-02,North America,HD Webcam,Online,32,26.17,837.44
2024-10-03,EMEA,Standing Desk,Retail,7,160.66,1124.62
2024-10-04,ANZ,HD Webcam,Retail,22,26.17,575.74
2024-10-05,APAC,USB-C Hub,Retail,22,100.72,2215.84
2024-10-05,North America,USB-C Hub,Partner,16,100.72,1611.52
2024-10-06,APAC,USB-C Hub,Online,20,100.72,2014.40
2024-10-07,LATAM,Laptop Stand,Retail,18,14.78,266.04
2024-10-08,ANZ,Standing Desk,Online,9,160.66,1445.94
2024-10-08,LATAM,Mechanical Keyboard,Online,18,210.43,3787.74
2024-10-09,ANZ,HD Webcam,Online,16,26.17,418.72
2024-10-10,ANZ,Laptop Stand,Partner,24,14.78,354.72
2024-10-10,APAC,HD Webcam,Partner,13,26.17,340.21
2024-10-11,LATAM,HD Webcam,Partner,36,26.17,942.12
2024-10-12,North America,Laptop Stand,Online,36,14.78,532.08
2024-10-13,ANZ,Portable SSD,Retail,11,41.29,454.19
2024-10-13,APAC,Mechanical Keyboard,Partner,19,210.43,3998.17
2024-10-14,APAC,Mechanical Keyboard,Partner,34,210.43,7154.62
2024-10-15,APAC,HD Webcam,Partner,34,26.17,889.78
2024-10-16,LATAM,HD Webcam,Retail,22,26.17,575.74
2024-10-16,LATAM,Portable SSD,Online,36,41.29,1486.44
2024-10-17,North America,Portable SSD,Retail,18,41.29,743.22
2024-10-18,LATAM,HD Webcam,Partner,22,26.17,575.74
2024-10-18,LATAM,Mechanical Keyboard,Online,8,210.43,1683.44
2024-10-19,EMEA,USB-C Hub,Online,33,100.72,3323.76
2024-10-20,LATAM,Portable SSD,Online,25,41.29,1032.25
2024-10-21,LATAM,Laptop Stand,Online,20,14.78,295.60
2024-10-21,North America,Portable SSD,Online,33,41.29,1362.57
2024-10-22,APAC,Wireless Mouse,Retail,28,34.72,972.16
2024-10-23,EMEA,Laptop Stand,Online,34,14.78,502.52
2024-10-24,LATAM,USB-C Hub,Partner,4,100.72,402.88
2024-10-24,LATAM,USB-C Hub,Online,16,100.72,1611.52
2024-10-25,LATAM,Desk Lamp,Online,39,64.22,2504.58
2024-10-26,APAC,Wireless Mouse,Online,7,34.72,243.04
2024-10-26,LATAM,USB-C Hub,Retail,36,100.72,3625.92
2024-10-27,EMEA,Desk Lamp,Online,21,64.22,1348.62
2024-10-28,APAC,Laptop Stand,Retail,18,14.78,266.04
2024-10-29,North America,HD Webcam,Online,18,26.17,471.06
2024-10-29,LATAM,Laptop Stand,Partner,9,14.78,133.02
2024-10-30,ANZ,Portable SSD,Online,37,41.29,1527.73
2024-10-31,LATAM,Wireless Mouse,Partner,2,34.72,69.44
2024-11-01,EMEA,Wireless Mouse,Online,18,34.72,624.96
2024-11-01,ANZ,Laptop Stand,Partner,17,14.78,251.26
2024-11-02,LATAM,HD Webcam,Retail,21,26.17,549.57
2024-11-03,ANZ,Standing Desk,Retail,9,160.66,1445.94
2024-11-04,EMEA,Laptop Stand,Retail,4,14.78,59.12
2024-11-04,North America,USB-C Hub,Retail,16,100.72,1611.52
2024-11-05,ANZ,Wireless Mouse,Online,31,34.72,1076.32
2024-11-06,LATAM,HD Webcam,Online,27,26.17,706.59
2024-11-06,LATAM,HD Webcam,Retail,40,26.17,1046.80
2024-11-07,LATAM,USB-C Hub,Partner,32,100.72,3223.04
2024-11-08,ANZ,Desk Lamp,Online,19,64.22,1220.18
2024-11-09,APAC,Mechanical Keyboard,Retail,11,210.43,2314.73
2024-11-09,EMEA,Portable SSD,Online,6,41.29,247.74
2024-11-10,North America,Desk Lamp,Online,17,64.22,1091.74
2024-11-11,North America,Mechanical Keyboard,Online,16,210.43,3366.88
2024-11-12,ANZ,HD Webcam,Retail,40,26.17,1046.80
2024-11-12,North America,Portable SSD,Retail,15,41.29,619.35
2024-11-13,North America,HD Webcam,Retail,30,26.17,785.10
2024-11-14,LATAM,USB-C Hub,Online,28,100.72,2820.16
2024-11-14,LATAM,USB-C Hub,Partner,35,100.72,3525.20
2024-11-15,North America,Wireless Mouse,Retail,8,34.72,277.76
2024-11-16,LATAM,USB-C Hub,Online,23,100.72,2316.56
2024-11-17,LATAM,Laptop Stand,Online,20,14.78,295.60
2024-11-17,EMEA,Laptop Stand,Partner,25,14.78,369.50
2024-11-18,LATAM,USB-C Hub,Online,4,100.72,402.88
2024-11-19,APAC,Mechanical Keyboard,Partner,32,210.43,6733.76
2024-11-20,ANZ,USB-C Hub,Online,8,100.72,805.76
2024-11-20,North America,Mechanical Keyboard,Retail,38,210.43,7996.34
2024-11-21,North America,Standing Desk,Partner,5,160.66,803.30
2024-11-22,ANZ,Desk Lamp,Partner,13,64.22,834.86
2024-11-22,EMEA,HD Webcam,Retail,22,26.17,575.74
2024-11-23,LATAM,Wireless Mouse,Online,2,34.72,69.44
2024-11-24,APAC,HD Webcam,Retail,16,26.17,418.72
2024-11-25,EMEA,Laptop Stand,Retail,8,14.78,118.24
2024-11-25,LATAM,Mechanical Keyboard,Partner,33,210.43,6944.19
2024-11-26,EMEA,HD Webcam,Partner,37,26.17,968.29
2024-11-27,LATAM,HD Webcam,Online,18,26.17,471.06
2024-11-28,ANZ,USB-C Hub,Partner,5,100.72,503.60
2024-11-28,APAC,Laptop Stand,Online,27,14.78,399.06
2024-11-29,EMEA,Laptop Stand,Partner,22,14.78,325.16
2024-11-30,LATAM,Mechanical Keyboard,Retail,13,210.43,2735.59
2024-12-01,LATAM,Mechanical Keyboard,Partner,38,210.43,7996.34
2024-12-01,North America,Wireless Mouse,Retail,33,34.72,1145.76
2024-12-02,ANZ,Laptop Stand,Online,31,14.78,458.18
2024-12-03,ANZ,Mechanical Keyboard,Retail,2,210.43,420.86
2024-12-03,ANZ,Laptop Stand,Partner,3,14.78,44.34
2024-12-04,LATAM,Portable SSD,Retail,15,41.29,619.35
2024-12-05,APAC,HD Webcam,Partner,13,26.17,340.21
2024-12-06,ANZ,Desk Lamp,Partner,20,64.22,1284.40
2024-12-06,LATAM,USB-C Hub,Retail,38,100.72,3827.36
2024-12-07,North America,HD Webcam,Partner,23,26.17,601.91
2024-12-08,North America,Portable SSD,Retail,14,41.29,578.06
2024-12-09,LATAM,Desk Lamp,Online,11,64.22,706.42
2024-12-09,ANZ,USB-C Hub,Online,32,100.72,3223.04
2024-12-10,ANZ,Desk Lamp,Online,16,64.22,1027.52
2024-12-11,EMEA,HD Webcam,Partner,5,26.17,130.85
2024-12-11,ANZ,Portable SSD,Retail,14,41.29,578.06
2024-12-12,ANZ,HD Webcam,Retail,28,26.17,732.76
2024-12-13,APAC,Portable SSD,Online,35,41.29,1445.15
2024-12-14,EMEA,HD Webcam,Retail,14,26.17,366.38
2024-12-14,APAC,Desk Lamp,Online,33,64.22,2119.26
2024-12-15,APAC,USB-C Hub,Online,26,100.72,2618.72
2024-12-16,EMEA,USB-C Hub,Partner,29,100.72,2920.88
2024-12-17,North America,Desk Lamp,Partner,7,64.22,449.54
2024-12-17,APAC,Laptop Stand,Online,24,14.78,354.72
2024-12-18,LATAM,Portable SSD,Retail,29,41.29,1197.41
2024-12-19,APAC,USB-C Hub,Retail,29,100.72,2920.88
2024-12-19,North America,HD Webcam,Online,25,26.17,654.25
2024-12-20,LATAM,Laptop Stand,Partner,33,14.78,487.74
2024-12-21,North America,Mechanical Keyboard,Online,36,210.43,7575.48
2024-12-22,APAC,HD Webcam,Partner,19,26.17,497.23
2024-12-22,APAC,Mechanical Keyboard,Partner,39,210.43,8206.77
2024-12-23,APAC,Mechanical Keyboard,Retail,23,210.43,4839.89
2024-12-24,APAC,Laptop Stand,Online,7,14.78,103.46
2024-12-25,ANZ,Portable SSD,Retail,11,41.29,454.19
2024-12-25,North America,Portable SSD,Retail,29,41.29,1197.41
2024-12-26,LATAM,Laptop Stand,Partner,26,14.78,384.28
2024-12-27,North America,Portable SSD,Partner,23,41.29,949.67
2024-12-28,ANZ,Desk Lamp,Retail,33,64.22,2119.26
2024-12-28,EMEA,USB-C Hub,Retail,28,100.72,2820.16
2024-12-29,ANZ,Portable SSD,Retail,30,41.29,1238.70
2024-12-30,APAC,Portable SSD,Online,14,41.29,578.06
2024-12-30,LATAM,Portable SSD,Retail,1,41.29,41.29
2024-12-31,North America,USB-C Hub,Online,3,100.72,302.16
2025-01-01,EMEA,Portable SSD,Retail,29,41.29,1197.41
2025-01-02,LATAM,Portable SSD,Retail,34,41.29,1403.86
2025-01-02,EMEA,Laptop Stand,Online,11,14.78,162.58
2025-01-03,EMEA,Mechanical Keyboard,Online,34,210.43,7154.62
2025-01-04,ANZ,Standing Desk,Partner,19,160.66,3052.54
2025-01-05,ANZ,HD Webcam,Online,3,26.17,78.51
2025-01-05,APAC,Portable SSD,Online,26,41.29,1073.54
2025-01-06,LATAM,USB-C Hub,Retail,28,100.72,2820.16
2025-01-07,APAC,Portable SSD,Retail,1,41.29,41.29
2025-01-07,North America,HD Webcam,Partner,31,26.17,811.27
2025-01-08,EMEA,USB-C Hub,Online,18,100.72,1812.96
2025-01-09,APAC,Portable SSD,Retail,26,41.29,1073.54
2025-01-10,North America,Laptop Stand,Partner,29,14.78,428.62
2025-01-10,LATAM,Laptop Stand,Online,33,14.78,487.74
2025-01-11,LATAM,Mechanical Keyboard,Online,31,210.43,6523.33
2025-01-12,APAC,Laptop Stand,Online,13,14.78,192.14
2025-01-13,North America,Mechanical Keyboard,Online,26,210.43,5471.18
2025-01-13,EMEA,HD Webcam,Online,32,26.17,837.44
2025-01-14,EMEA,Portable SSD,Online,2,41.29,82.58
2025-01-15,North America,USB-C Hub,Online,4,100.72,402.88
2025-01-15,EMEA,Portable SSD,Online,2,41.29,82.58
2025-01-16,APAC,Portable SSD,Partner,32,41.29,1321.28
2025-01-17,APAC,Laptop Stand,Online,16,14.78,236.48
2025-01-18,LATAM,Wireless Mouse,Online,26,34.72,902.72
2025-01-18,EMEA,Portable SSD,Online,31,41.29,1279.99
2025-01-19,APAC,Standing Desk,Online,32,160.66,5141.12
2025-01-20,EMEA,Laptop Stand,Retail,2,14.78,29.56
2025-01-21,LATAM,HD Webcam,Online,34,26.17,889.78
2025-01-21,APAC,Standing Desk,Retail,11,160.66,1767.26
2025-01-22,ANZ,Desk Lamp,Retail,25,64.22,1605.50
2025-01-23,ANZ,HD Webcam,Partner,22,26.17,575.74
2025-01-24,LATAM,Mechanical Keyboard,Online,38,210.43,7996.34
2025-01-24,LATAM,USB-C Hub,Retail,21,100.72,2115.12
2025-01-25,EMEA,Desk Lamp,Partner,15,64.22,963.30
2025-01-26,EMEA,HD Webcam,Partner,14,26.17,366.38
2025-01-26,LATAM,Laptop Stand,Online,15,14.78,221.70
2025-01-27,EMEA,Wireless Mouse,Partner,31,34.72,1076.32
2025-01-28,North America,HD Webcam,Online,29,26.17,758.93
2025-01-29,LATAM,Laptop Stand,Retail,13,14.78,192.14
2025-01-29,LATAM,Standing Desk,Online,16,160.66,2570.56
2025-01-30,ANZ,Standing Desk,Online,29,160.66,4659.14
2025-01-31,North America,Desk Lamp,Online,26,64.22,1669.72
2025-02-01,APAC,Portable SSD,Partner,20,41.29,825.80
2025-02-01,ANZ,Mechanical Keyboard,Partner,22,210.43,4629.46
2025-02-02,ANZ,HD Webcam,Online,9,26.17,235.53
2025-02-03,North America,Laptop Stand,Online,12,14.78,177.36
2025-02-03,APAC,Portable SSD,Partner,24,41.29,990.96
2025-02-04,EMEA,USB-C Hub,Online,17,100.72,1712.24
2025-02-05,ANZ,Laptop Stand,Online,18,14.78,266.04
2025-02-06,North America,USB-C Hub,Online,15,100.72,1510.80
2025-02-06,LATAM,Desk Lamp,Partner,32,64.22,2055.04
2025-02-07,ANZ,USB-C Hub,Partner,12,100.72,1208.64
2025-02-08,APAC,Laptop Stand,Retail,5,14.78,73.90
2025-02-09,EMEA,Desk Lamp,Online,23,64.22,1477.06
2025-02-09,ANZ,Desk Lamp,Partner,2,64.22,128.44
2025-02-10,North America,Portable SSD,Retail,36,41.29,1486.44
2025-02-11,ANZ,HD Webcam,Partner,31,26.17,811.27
2025-02-11,APAC,Desk Lamp,Partner,17,64.22,1091.74
2025-02-12,LATAM,Mechanical Keyboard,Retail,20,210.43,4208.60
2025-02-13,LATAM,Portable SSD,Partner,31,41.29,1279.99
2025-02-14,LATAM,USB-C Hub,Retail,15,100.72,1510.80
2025-02-14,APAC,HD Webcam,Partner,26,26.17,680.42
2025-02-15,ANZ,Desk Lamp,Retail,29,64.22,1862.38
2025-02-16,LATAM,Portable SSD,Partner,4,41.29,165.16
2025-02-17,APAC,Laptop Stand,Retail,13,14.78,192.14
2025-02-17,ANZ,Desk Lamp,Retail,20,64.22,1284.40
2025-02-18,EMEA,Laptop Stand,Partner,4,14.78,59.12
2025-02-19,APAC,Desk Lamp,Online,11,64.22,706.42
2025-02-20,ANZ,Laptop Stand,Online,3,14.78,44.34
2025-02-20,North America,HD Webcam,Partner,40,26.17,1046.80
2025-02-21,ANZ,Standing Desk,Retail,2,160.66,321.32
2025-02-22,EMEA,Desk Lamp,Partner,33,64.22,2119.26
2025-02-22,EMEA,USB-C Hub,Retail,16,100.72,1611.52
2025-02-23,EMEA,Portable SSD,Online,6,41.29,247.74
2025-02-24,EMEA,USB-C Hub,Online,23,100.72,2316.56
2025-02-25,EMEA,Portable SSD,Partner,22,41.29,908.38
2025-02-25,APAC,Mechanical Keyboard,Online,31,210.43,6523.33
2025-02-26,ANZ,Portable SSD,Partner,32,41.29,1321.28
2025-02-27,EMEA,USB-C Hub,Partner,24,100.72,2417.28
2025-02-28,EMEA,Desk Lamp,Partner,3,64.22,192.66
2025-02-28,ANZ,HD Webcam,Partner,35,26.17,915.95
2025-03-01,APAC,Standing Desk,Online,33,160.66,5301.78
2025-03-02,ANZ,HD Webcam,Online,4,26.17,104.68
2025-03-02,LATAM,Laptop Stand,Partner,22,14.78,325.16
2025-03-03,North America,Laptop Stand,Retail,24,14.78,354.72
2025-03-04,EMEA,Wireless Mouse,Online,12,34.72,416.64
2025-03-05,APAC,Mechanical Keyboard,Retail,39,210.43,8206.77
2025-03-05,North America,Wireless Mouse,Partner,31,34.72,1076.32
2025-03-06,EMEA,Mechanical Keyboard,Partner,38,210.43,7996.34
2025-03-07,North America,Mechanical Keyboard,Partner,38,210.43,7996.34
2025-03-08,LATAM,USB-C Hub,Online,25,100.72,2518.00
2025-03-08,ANZ,Laptop Stand,Partner,5,14.78,73.90
2025-03-09,ANZ,HD Webcam,Partner,25,26.17,654.25
2025-03-10,EMEA,Portable SSD,Online,20,41.29,825.80
2025-03-10,North America,Portable SSD,Online,38,41.29,1569.02
2025-03-11,North America,Portable SSD,Online,11,41.29,454.19
2025-03-12,ANZ,USB-C Hub,Retail,29,100.72,2920.88
2025-03-13,North America,USB-C Hub,Retail,20,100.72,2014.40
2025-03-13,APAC,Mechanical Keyboard,Partner,3,210.43,631.29
2025-03-14,LATAM,HD Webcam,Retail,27,26.17,706.59
2025-03-15,APAC,USB-C Hub,Online,19,100.72,1913.68
2025-03-16,APAC,Portable SSD,Online,5,41.29,206.45
2025-03-16,APAC,Laptop Stand,Retail,4,14.78,59.12
2025-03-17,EMEA,Laptop Stand,Retail,14,14.78,206.92
2025-03-18,ANZ,HD Webcam,Online,14,26.17,366.38
2025-03-19,ANZ,Portable SSD,Retail,20,41.29,825.80
2025-03-19,ANZ,Portable SSD,Online,3,41.29,123.87
2025-03-20,EMEA,Desk Lamp,Partner,22,64.22,1412.84
2025-03-21,APAC,Laptop Stand,Online,31,14.78,458.18
2025-03-21,North America,Portable SSD,Partner,35,41.29,1445.15
2025-03-22,LATAM,USB-C Hub,Retail,11,100.72,1107.92
2025-03-23,LATAM,Laptop Stand,Partner,27,14.78,399.06
2025-03-24,LATAM,Laptop Stand,Partner,29,14.78,428.62
2025-03-24,North America,Standing Desk,Partner,39,160.66,6265.74
2025-03-25,APAC,Portable SSD,Retail,32,41.29,1321.28
2025-03-26,APAC,USB-C Hub,Retail,22,100.72,2215.84
2025-03-27,EMEA,Laptop Stand,Online,7,14.78,103.46
2025-03-27,LATAM,HD Webcam,Retail,14,26.17,366.38
2025-03-28,North America,Mechanical Keyboard,Online,38,210.43,7996.34
2025-03-29,North America,USB-C Hub,Online,32,100.72,3223.04
2025-03-29,North America,Laptop Stand,Retail,14,14.78,206.92
2025-03-30,ANZ,Wireless Mouse,Partner,4,34.72,138.88
2025-03-31,North America,Mechanical Keyboard,Retail,36,210.43,7575.48
2025-04-01,LATAM,Portable SSD,Partner,11,41.29,454.19
2025-04-01,LATAM,Portable SSD,Partner,14,41.29,578.06
2025-04-02,ANZ,Laptop Stand,Retail,10,14.78,147.80
2025-04-03,LATAM,Desk Lamp,Retail,17,64.22,1091.74
2025-04-04,North America,Desk Lamp,Online,25,64.22,1605.50
2025-04-04,APAC,USB-C Hub,Online,32,100.72,3223.04
2025-04-05,APAC,HD Webcam,Online,5,26.17,130.85
2025-04-06,ANZ,HD Webcam,Partner,29,26.17,758.93
2025-04-06,EMEA,Mechanical Keyboard,Partner,31,210.43,6523.33
2025-04-07,ANZ,USB-C Hub,Partner,35,100.72,3525.20
2025-04-08,APAC,Desk Lamp,Retail,5,64.22,321.10
2025-04-09,North America,Mechanical Keyboard,Online,28,210.43,5892.04
2025-04-09,ANZ,HD Webcam,Retail,25,26.17,654.25
2025-04-10,APAC,Portable SSD,Partner,20,41.29,825.80
2025-04-11,APAC,Desk Lamp,Partner,34,64.22,2183.48
2025-04-12,North America,USB-C Hub,Partner,39,100.72,3928.08
2025-04-12,EMEA,Mechanical Keyboard,Partner,10,210.43,2104.30
2025-04-13,North America,Portable SSD,Retail,23,41.29,949.67
2025-04-14,APAC,Laptop Stand,Partner,2,14.78,29.56
2025-04-15,EMEA,Portable SSD,Retail,17,41.29,701.93
2025-04-15,EMEA,HD Webcam,Retail,11,26.17,287.87
2025-04-16,LATAM,HD Webcam,Retail,8,26.17,209.36
2025-04-17,APAC,Portable SSD,Partner,12,41.29,495.48
2025-04-17,LATAM,Mechanical Keyboard,Online,15,210.43,3156.45
2025-04-18,North America,Desk Lamp,Partner,30,64.22,1926.60
2025-04-19,ANZ,USB-C Hub,Retail,9,100.72,906.48
2025-04-20,EMEA,Laptop Stand,Retail,28,14.78,413.84
2025-04-20,EMEA,Desk Lamp,Retail,24,64.22,1541.28
2025-04-21,APAC,Laptop Stand,Online,32,14.78,472.96
2025-04-22,EMEA,Laptop Stand,Partner,36,14.78,532.08
2025-04-23,APAC,USB-C Hub,Partner,17,100.72,1712.24
2025-04-23,EMEA,Portable SSD,Partner,1,41.29,41.29
2025-04-24,North America,Laptop Stand,Online,39,14.78,576.42
2025-04-25,ANZ,Desk Lamp,Online,33,64.22,2119.26
2025-04-25,EMEA,Laptop Stand,Online,33,14.78,487.74
2025-04-26,ANZ,Desk Lamp,Partner,5,64.22,321.10
2025-04-27,APAC,Portable SSD,Retail,17,41.29,701.93
2025-04-28,ANZ,Mechanical Keyboard,Partner,15,210.43,3156.45
2025-04-28,EMEA,HD Webcam,Partner,2,26.17,52.34
2025-04-29,North America,Laptop Stand,Partner,25,14.78,369.50
2025-04-30,North America,USB-C Hub,Partner,8,100.72,805.76
2025-05-01,North America,USB-C Hub,Retail,4,100.72,402.88
2025-05-01,EMEA,USB-C Hub,Partner,16,100.72,1611.52
